	Node	Cluster_0.1	Cluster_0.195	Cluster_0.29000000000000004	Cluster_0.385	Cluster_0.48	Cluster_0.575	Cluster_0.67	Cluster_0.765	Cluster_0.86	Cluster_0.955	Cluster_1.05	Cluster_1.145	Cluster_1.2400000000000002	Cluster_1.3350000000000002	Cluster_1.4300000000000002	Cluster_1.5250000000000001	Cluster_1.62	Cluster_1.715	Cluster_1.81	Cluster_1.905	Cluster_2.0
200	200	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
201	201	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
202	202	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
203	203	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
204	204	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
205	205	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
206	206	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
207	207	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
208	208	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
209	209	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
210	210	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
211	211	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
212	212	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
213	213	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
214	214	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
215	215	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
216	216	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
217	217	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
218	218	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
219	219	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
220	220	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
221	221	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
222	222	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
223	223	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
224	224	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
225	225	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
226	226	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
227	227	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
228	228	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
229	229	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
230	230	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
231	231	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
232	232	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
233	233	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
234	234	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
235	235	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
236	236	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
